Model,Accuracy,Norm_acc,Overall_corr,ECE_conf,ECE_conf-logits,ECE_logits,Dist_conf-logits,Overall_logits_mean,Overall_logits_std,Overall_confidence_mean,Overall_confidence_std,Match_corr,Match_logits_mean,Match_logits_std,Match_confidence_mean,Match_confidence_std,Mismatch_corr,Mismatch_logits_mean,Mismatch_logits_std,Mismatch_confidence_mean,Mismatch_confidence_std,Task,Num_choices,Model_name,Prompt,Model_family,Model_version,Model_type,Model_size
Mistral-Nemo-Base-2407_base_45,0.5789473684210527,0.4385964912280702,0.4264327011372034,0.2789473684210526,0.1622404587896246,0.1521252236868206,0.2328383518870716,0.499003341323451,0.2031131105369808,6.473684210526316,1.0202625507753482,-0.0148858377611749,0.6085374274037101,0.2011216210375621,7.0,1.0,0.5954060336176543,0.3483939729630947,0.0593409600255948,5.75,0.4629100498862757,conceptual_combinations,4,Mistral-Nemo-Base-2407,base_45,mistral,nemo,base,12
Mistral-Nemo-Base-2407_base_new_56,0.5789473684210527,0.4385964912280702,,0.1210526315789473,0.1605336816687332,0.2240491415324963,0.2646863929062372,0.5394663183312667,0.2162134553774142,7.0,0.0,,0.6222542930733074,0.2430526240699863,7.0,0.0,,0.4256328530609607,0.1011830516404618,7.0,0.0,conceptual_combinations,4,Mistral-Nemo-Base-2407,base_new_56,mistral,nemo,base,12
Mixtral-8x7B-v0.1_base_45,0.5789473684210527,0.4385964912280702,0.0700409225146671,0.1473684210526315,0.1087662781539716,0.2168156175236953,0.2129145095786267,0.6184629154832739,0.1841978413359587,6.2105263157894735,1.3156725094212405,-0.1105625696681548,0.6871358535506509,0.1798575940272513,6.727272727272728,1.489356175728901,-0.5681028748090822,0.5240376256406307,0.1530764910159855,5.5,0.5345224838248488,conceptual_combinations,4,Mixtral-8x7B-v0.1,base_45,mistral,0.1,base,13
Mixtral-8x7B-v0.1_base_new_56,0.7894736842105263,0.7192982456140351,,0.0894736842105263,0.1703979570614663,0.3713050782680511,0.2445131570057459,0.5296020429385336,0.1801655386004939,7.0,0.0,,0.5429267187913259,0.1996060855403099,7.0,0.0,,0.4796345084905624,0.0678889023959628,7.0,0.0,conceptual_combinations,4,Mixtral-8x7B-v0.1,base_new_56,mistral,0.1,base,13
Llama-2-7b-hf_base_45,0.5789473684210527,0.4385964912280702,-0.037068435162941,0.1473684210526315,0.2161118836779343,0.2792697784147764,0.2203122327248113,0.2996775900062762,0.0217066160674967,5.157894736842105,0.3746343246326775,-0.0411055594605696,0.2975064272230321,0.0200949458802138,5.090909090909091,0.3015113445777636,-0.0836661045081518,0.3026629388332367,0.0248422706388286,5.25,0.4629100498862757,conceptual_combinations,4,Llama-2-7b-hf,base_45,llama,2,base,7
Llama-2-7b-hf_base_new_56,0.7368421052631579,0.6491228070175438,0.086006110955202,0.2842105263157894,0.3718934934390219,0.4034724408074429,0.3985277418786851,0.333369664455715,0.0481702021567286,7.052631578947368,1.4327007988227578,0.1777947462745374,0.3379294489111219,0.0530519853892858,6.714285714285714,1.5406577730392867,,0.3206022679805755,0.0319055043150593,8.0,0.0,conceptual_combinations,4,Llama-2-7b-hf,base_new_56,llama,2,base,7
Llama-2-13b-hf_base_45,0.1052631578947368,-0.1929824561403509,0.3276212686483013,0.6105263157894737,0.4394737952633908,0.2432107705818979,0.470902685233628,0.3352995107048436,0.0458838561914367,7.157894736842105,2.967661965901718,-1.0,0.3609190136194228,0.0814376369058715,9.0,1.4142135623730951,0.3857720054354253,0.3322854515384225,0.0431542760792206,6.941176470588236,3.0510364680566777,conceptual_combinations,4,Llama-2-13b-hf,base_45,llama,2,base,13
Llama-2-13b-hf_base_new_56,0.7894736842105263,0.7192982456140351,-0.1385642689539748,0.1,0.4222522603838067,0.4380417340680173,0.4381825500117254,0.351431950142509,0.0857095349424379,7.736842105263157,0.7334928056269077,-0.152333447039464,0.3653808216253916,0.091549901058275,7.733333333333333,0.7988086367179803,0.095455845868387,0.2991236820816993,0.0185083098740971,7.75,0.5,conceptual_combinations,4,Llama-2-13b-hf,base_new_56,llama,2,base,13
Llama-3.1-8B_base_45,0.5263157894736842,0.3684210526315789,0.5967617540732246,0.1368421052631579,0.122252702399304,0.2521719979612451,0.1734520614291723,0.4777472976006959,0.1298581218049519,6.0,1.4907119849998598,0.5343990236868223,0.5283148378133774,0.1469850111383568,6.7,1.70293863659264,0.2897076886235743,0.4215611418088277,0.0830002354869136,5.222222222222222,0.6666666666666667,conceptual_combinations,4,Llama-3.1-8B,base_45,llama,3.1,base,8
Llama-3.1-8B_base_new_56,0.631578947368421,0.5087719298245613,0.0294173290463957,0.1473684210526315,0.3470122911428149,0.2628017648270255,0.3588909925606846,0.3687771825413954,0.0874083043318738,7.157894736842105,0.3746343246326775,-0.1145814557934789,0.3933824201424916,0.099074936405842,7.25,0.4522670168666454,,0.3265967752252306,0.0404767768617695,7.0,0.0,conceptual_combinations,4,Llama-3.1-8B,base_new_56,llama,3.1,base,8
